;UF;city;Lat;Long;height;availability;availability time
35;RN;Afonso Bezerra;-5.498;-36.5;0.0;99.999;5.0
36;ES;Afonso Claúdio;-20.074;-41.12;441.0;99.999;5.0
37;MA;Afonso Cunha;-4.133;-43.32;128.0;99.998;11.0
38;PE;Afrânio;-8.5;-41.01;471.0;99.999;5.0
39;PA;Afuá;-0.157;-50.39;0.0;99.999;5.0
40;PE;Agrestina;-8.458;-35.94;0.0;99.999;5.0
41;PI;Agricolândia;-5.76;-42.67;271.0;99.999;5.0
42;SC;Agrolândia;-27.412;-49.75;0.0;99.999;5.0
43;SC;Agronômica;-27.265;-49.71;0.0;99.999;5.0
44;PA;Água Azul do Norte;-6.759;-50.47;286.0;99.999;5.0
45;MG;Água Boa;-17.996;-42.39;424.0;99.999;5.0
46;MT;Água Boa;-14.05;-52.16;349.0;99.999;5.0
47;AL;Água Branca;-9.261;-37.94;0.0;99.999;5.0
48;PB;Água Branca;-7.5;-37.64;0.0;99.999;5.0
49;PI;Água Branca;-5.756;-42.64;235.0;99.999;5.0
50;MS;Água Clara;-20.448;-52.76;429.0;99.999;5.0
51;MG;Água Comprida;-20.056;-48.11;604.0;99.999;5.0
52;SC;Água Doce;-26.998;-51.6;40.0;99.999;5.0
53;MA;Água Doce do Maranhão;-2.755;-42.11;249.0;99.998;11.0
